id,name,type,discription
90,laptop asus vivobook s14 s431fl-eb145t-bạc,laptop,"laptop asus vivobook s14 s431fl-eb145t-bạccân nặng: 1.4kg pin: 2-cell 47whrs os: windows 10 màn hình: 14\"" fhd (1920*1080) vga: nvidia geforce mx250 2gb ram: 8gb lpddr3 hdd: 512g pcie ssd + 32gb optane cpu: intel® core™ i5-8265u (1.60 ghz upto 3.90 ghz, 6mb) "
84,laptop asus rog strix g g531gt-hn553t - 144hz,laptop,"laptop asus rog strix g g531gt-hn553t - 144hzos: windows 10 64bit cân nặng: 2.4kg pin: 3-cell li-ion, 48whrs màu sắc: đen màn hình: 15.6 inch full hd (1920 x 1080), 144hz, ips panel vga: nvidia geforce gtx 1650 4gb gddr5 ổ cứng: 512gb m.2 nvme pcie 3.0 ram: 8gb ddr4 2666mhz (2 khe, tối đa 32gb) cpu: intel® core™ i5-9300h (2.40 ghz upto 4.10 ghz, 8mb) "
85,laptop asus rog strix g15 g512-ial013t,laptop,"laptop asus rog strix g15 g512-ial013tos: windows 10 home 64 bit cân nặng: 2.39 kg pin: 3 cell /48whrs - 3s1p màn hình: 15.6\"" fhd (1920*1080) ips 144hz, 250nits vga: nvidia geforce gtx 1650ti 4gb ddr6 ổ cứng: 512g m.2 nvme™ pcie® 3.0 ssd ram: 8gb ddr4 3200mhz (2 khe, tối đa 32gb) cpu: intel® core™ i5-10300h (2.50ghz upto 4.50ghz, 8mb) "
86,laptop asus x509fj-ej153t,laptop,"laptop asus x509fj-ej153ttính năng: bảo mật vân tay,… pin: 2-cell 32whrs cân nặng: 1.90kg os: windows 10 sl màn hình: 15.6inch fhd tn 200nits anti-glare ntsc 45% vga: nvidia geforce mx230 2gb ổ cứng: 1tb-5400rpm + ssd 120g m2 sata (quà tặng từ an phát) ram: 4gb ddr4 + 1slot cpu: intel® core™ i5-8265u (1.60 ghz upto 3.90 ghz, 6 mb) "
87,laptop asus gaming rog zephyrus m15 gu502lu-az006t,laptop,"laptop asus gaming rog zephyrus m15 gu502lu-az006tcân nặng: 1.9kg os: windows 10 sl 64 bit màn hình: 15.6\"" fhd ips (1920×1080), 240hz 3ms, 100% srgb vga: nvidia geforce gtx1660ti 6gb gddr6 ổ cứng: 512gb m.2 nvme pcie 3.0 ram: 16gb ddr4 [on board] ddr4 3200mhz (1 khe, tối đa 48gb) cpu: intel® core™ i7-10750h (2.60 ghz upto 5.00 ghz, 12mb) "
88,"laptop asus gaming rog strix g g731gt-h7114t (17.3"" fhd/i7-9750h/8gb ddr4/512gb ssd/gtx 1650 4gb/win 10/2.85kg",laptop,"laptop asus gaming rog strix g g731gt-h7114t (17.3"" fhd/i7-9750h/8gb ddr4/512gb ssd/gtx 1650 4gb/win 10/2.85kgcân nặng: 2.85 kg os: windows 10 pin: 3 cell màn hình: 17.3\"" fhd (1920 x 1080) ips, anti-glare with 45% ntsc, 120hz, narrow bezel, 250nits, 67% srgb, 50% adobe rgb vga: nvidia geforce gtx 1650 4gb gddr5 ổ cứng: 512gb ssd pcie g3x4 ram: 8gb ddr4 2666mhz+ 1slot cpu: intel® core™ i7-9750h (2.60 ghz upto 4.50 ghz, 12mb) "
89,laptop asus tuf gaming a15 fa506ii-al016t (gray metal),laptop,"laptop asus tuf gaming a15 fa506ii-al016t (gray metal)os: windows 10 64bit tính năng: đèn nền bàn phím cân nặng: 2.3 kg pin: 3cell, 48whr màn hình: 15.6 inch fhd (1920x1080) 144hz vga: nvidia geforce gtx 1650ti 4gb gddr6 ổ cứng: 512g pcie® gen3 ssd + 1slot hdd ram: 8gb ddr4 3200mhz (2x so-dimm slots) cpu: amd ryzen™ r7-4800h (2.90ghz upto 4.20ghz, 8mb) "
105,laptop dell inspiron 5593 n5i5513w-silver,laptop,"laptop dell inspiron 5593 n5i5513w-silvercpu: intel® core™ i5-1035g1 (1.00 ghz upto 3.60 ghz, 6mb) ram: 8gb (8gx1) ddr4 2666mhz ( 2 khe) ổ cứng: 256gb m.2 pcie nvme ssd + 1 slot 2.5\"" (hdd/ssd) vga: nvidia mx230 2gb ddr5 màn hình: 15.6-inch fhd(1920x1080) anti- glare led-backlit display narrow border os: windows 10 home plus single language english pin: 3 cell - 42whr cân nặng: 1.95 kg "
106,laptop dell inspiron 14 7490 6rkvn1,laptop,"laptop dell inspiron 14 7490 6rkvn1cpu: intel® core™ i7-10510u (1.80ghz upto 4.90ghz, 8mb) ram: 16gb onboard lpddr3 2133mhz hdd: 512gb m.2 pcie nvme ssd vga: nvidia mx250 2gb ddr5 màn hình: 14.0-inch fhd (1920x1080) true life 300nits 100%srg b wide viewing angle led-backl it display os: window 10 home pin: 4cell, 52whr cân nặng: 1.4kg tính năng: đèn nền bàn phím "
107,laptop dell xps 15 9500 70221010 (p91f001),laptop,"laptop dell xps 15 9500 70221010 (p91f001)cpu: intel® core™ i7-10750h (2.60 ghz upto 5.00 ghz, 12mb) ram: 16gb(2x8gb) ddr4 2933mhz (2 khe) ổ cứng: 512gb m.2 pcie nvme vga: nvidia geforce gtx 1650 ti 4gb gddr6 màn hình: 15.6 inch uhd (3840 x 2400) - cảm ứng os: windows 10 home pin: 6 cell, 86whr cân nặng: 2.05 kg tính năng: bảo mật vân tay "
108,laptop dell inspiron 5593 7wgnv1 silver,laptop,"laptop dell inspiron 5593 7wgnv1 silvercpu: intel® core™ i5-1035g1 (1.00 ghz upto 3.60 ghz, 6mb) ram: 8gb (8gx1)ddr4 2666mhz ( 2 khe) ổ cứng: 512gb m.2 pcie nvme ssd + 1 slot 2.5\"" (hdd/ssd) vga: intel® uhd graphics màn hình: 15.6-inch fhd(1920x1080) anti- glare led-backlit non-touch di splay narrow border os: windows 10 home plus single language english pin: 3 cell 42whr cân nặng: 1.9kg "
109,laptop dell inspiron 15 7501 x3mry1,laptop,"laptop dell inspiron 15 7501 x3mry1cpu: intel® core™ i7-10750h (2.60ghz upto 5.00ghz, 12mb) ram: 8gb ddr4 2933mhz onboard ( còn 1 slot ) ổ cứng: 512gb m.2 pcie nvme ssd vga: nvidia® geforce gtx® 1650 ti 4gb gddr6 màn hình: 15.6 inch fhd (1920 x 1080) anti-glare led backlight non-touch wide viewing angle 100%srgb 8bit pin: 3-cell, 56whr cân nặng: 1.75kg tính năng: bảo mật vân tay, đèn nền bàn phím màu sắc: bạc os: windows 10 home single language english "
110,laptop dell vostro 15 3580 t3rmd3,laptop,"laptop dell vostro 15 3580 t3rmd3cpu: intel® core™ i7-8565u (1.80 ghz upto 4.60 ghz, 8mb) ram: 8gb(1x8gb) ddr4 2666mhz ( 2 khe) ổ cứng: 1tb 5400rpm 2.5\"" sata hdd + 1 slot m2 để nâng cấp ssd vga: amd radeon(tm) 520 graphics wi th 2g gddr5 graphics memory màn hình: 15.6-inch fhd (1920 x 1080) an ti-glare led-backlit display os: windows 10 home plus single language english pin: 3-cell 42whr battery (integrated) cân nặng: 2.18 kg tính năng: bảo mật vân tay,… "
111,laptop dell gaming g5 15 5500 70225486,laptop,"laptop dell gaming g5 15 5500 70225486cpu: intel® core™ i7-10750h (2.60ghz upto 5.00ghz, 12mb) ram: 8gb (2x4gb) ddr4-2933mhz ( 2 khe) ổ cứng: 512gb m.2 pcie nvme vga: nvidia geforce rtx 2060 6gb gddr6 màn hình: 15.6 inch fhd(1920x1080) 300nits wva anti-glare led backlit display, 144hz pin: 4-cell, 68 whr cân nặng: 2.34kg tính năng: bảo mật vân tay màu sắc: đen os: windows 10 home "
112,laptop dell vostro 5590 hyxt92,laptop,"laptop dell vostro 5590 hyxt92cpu: intel® core™ i5-10210u (1.60 ghz upto 4.20 ghz, 6mb) ram: 8gb ddr4(4gb onboard ddr4 2666mhz + 1 x 4gb ddr4 2666 mhz) ổ cứng: 256gb ssd pcie (m.2 2230/2280) + 1x2.5\""(hdd/ssd) vga: nvidia geforce mx250 2gb gddr5 màn hình: 15.6-inch fhd (1920 x 1080) an ti-glare led backlit narrow border wva display os: windows 10 home single language 64-bit pin: 3 cell 42whr cân nặng: 1.69 kg "
113,máy tính đồng bộ asus rog strix gl10cs-vn021t,computer,"máy tính đồng bộ asus rog strix gl10cs-vn021tcpu: intel core i5-9400 (2.90 ghz upto 4.10 ghz, 6 cores 6 threads, 9mb cache) ram: 1 x 8gb ddr4 2666mhz ( 2 khe cắm hỗ trợ tối đa 32gb ) ổ cứng: 512g-pcie ssd (nâng cấp tối đa: 1 x m.2 nvme ssd, 1 x 3.5\"" sata, 1 x 2.5\"" sata) vga: nvidia geforce gtx 1660ti 6gb gddr6 hệ điều hành: windows 10 sl "
114,máy tính đồng bộ asus rog strix gl10cs-vn023t,computer,"máy tính đồng bộ asus rog strix gl10cs-vn023tcpu: intel core i5-9400 (2.90 ghz upto 4.10 ghz, 6 cores 6 threads, 9mb cache) ram: 8gb ddr4 2666mhz ổ cứng: 512g-pcie vga: nvidia geforce rtx2060 6gb gddr6 kêt nối wifi và bluetooth hệ điều hành: windows 10 sl "
115,máy tính đồng bộ asus d340mc-i38100017d,computer,"máy tính đồng bộ asus d340mc-i38100017dcpu: intel core i3-8100 (3.60 ghz, 4 cores 4 threads, 6mb cache) ram: 1 x 4gb ddr4 2666mhz ( 2 khe cắm hỗ trợ tối đa 32gb ) ổ cứng: 1tb hdd (nâng cấp tối đa: 1 x m.2 sata/nvme , 4 x 3.5\"" sata) vga: intel hd graphics 630 hệ điều hành: dos "
116,máy tính đồng bộ asus rog strix gl10cs-vn005t,computer,"máy tính đồng bộ asus rog strix gl10cs-vn005tcpu: intel core i5-9400 (2.90 ghz upto 4.10 ghz, 6 cores 6 threads, 9mb cache) ram: 1 x 8gb ddr4 2666mhz ( 2 khe cắm hỗ trợ tối đa 32gb ổ cứng: 1tb hdd 7200rpm (nâng cấp tối đa: 1 x m.2 nvme ssd , 4 x 3.5\"" sata) vga: nvidia geforce rtx 2060 6gb gddr6 hệ điều hành: windows 10 sl "
117,máy tính đồng bộ asus s340mc-i78700011t,computer,"máy tính đồng bộ asus s340mc-i78700011tasus s340mc-i38100030t - đen cpu: intel core i7-8700 (3.20 upto 4.60ghz, 6 cores 12 threads, 12mb cache) ram: 8gb ddr4 2666mhz (2 x dimm, upto 32gb) ổ cứng: 1tb sata3 7200rpm vga: intel uhd graphics 630 hệ điều hành: windows 10 sl kết nối mạng: wlan + bluetooth "
118,máy tính đồng bộ asus s340mc-i58400038t,computer,"máy tính đồng bộ asus s340mc-i58400038tasus s340mc-i58400038t - đen cpu: intel core i5-8400 (2.80 upto 4.00ghz, 6 cores 6 threads, 9mb cache) ram: 4gb ddr4 2666mhz (2 x dimm, upto 32gb) ổ cứng: 1tb sata3 7200rpm vga: intel uhd graphics 630 hệ điều hành: windows 10 sl kết nối mạng: wlan + bluetooth "
119,máy tính đồng bộ asus s340mc-0g5400026t,computer,"máy tính đồng bộ asus s340mc-0g5400026tasus s340mc-0g5400026t - đen cpu: intel pentium g5400 (3.70ghz, 2 cores 4 threads, 4mb cache) ram: 4gb ddr4 2666mhz (2 x dimm, upto 32gb) ổ cứng: 1tb sata3 7200rpm vga: intel uhd graphics 630 hệ điều hành: windows 10 sl kết nối mạng: wlan + bluetooth "
120,máy tính đồng bộ asus d320mt-0g3900023c,computer,"máy tính đồng bộ asus d320mt-0g3900023casus d320mt-0g3900023c - đen cpu: intel celeron g3900 (2.80ghz, 2 cores 2 threads, 2mb cache) ram: 4gb ddr4 2133mhz (2 x dimm, upto 32gb) ổ cứng: 500gb 7200rpm vga: intel® hd graphics 510 hệ điều hành: windows 10 pro kết nối mạng: lan "
121,máy tính đồng bộ hp pro g3 mt 9gf28pa,computer,"máy tính đồng bộ hp pro g3 mt 9gf28pacpu: intel core i5-9400 (2.90ghz upto 4.10ghz, 6 cores 6 threads, 9mb cache) ram: 4gb ddr4 2666mhz ổ cứng: 1tb hdd vga: intel uhd graphics 630 hệ điều hành: pc dos "
122,máy tính đồng bộ hp pavilion 590-p0112d 6dv45aa,computer,"máy tính đồng bộ hp pavilion 590-p0112d 6dv45aacpu: intel core i5-9400 (2.90 ghz upto 4.10 ghz, 6 cores 6 threads, 9mb cache) ram: 8gb ddr4 ổ cứng: 1tb hdd 7200rpm vga: nvidia gt730 2gb kết nối mạng: wlan + bluetooth hệ điều hành: windows 10 home 64 bit "
123,máy tính đồng bộ hp s01-pf0102d 7xe21aa,computer,"máy tính đồng bộ hp s01-pf0102d 7xe21aacpu: intel core i5-9400 (2.90ghz upto 4.10ghz, 6 cores 6 threads, 9mb cache) ram: 4gb(1 x 4 gb) ddr4 2666mhz ổ cứng: 1tb 7200rpm sata vga: intel® uhd graphics 630 kết nối mạng: wlan + bluetooth ổ đĩa: dvdrw hệ điều hành: windows 10 home 64bit "
124,máy tính đồng bộ hp prodesk 400 g4 desktop mini pc 2zz89av,computer,"máy tính đồng bộ hp prodesk 400 g4 desktop mini pc 2zz89avcpu: intel core i3-8100t (3.10ghz, 4 cores 4 threads, 6mb cache) ram: 4gb (1x4gb) ddr4 2666mhz (2 khe, tối đa 32gb) ổ cứng: 500gb 7200rpm 2.5in vga: intel uhd graphics 630 hệ điều hành: freedos 2.0 a/p kết nối mạng: lan rj-45 "
125,máy tính đồng bộ hp prodesk 400 g6 7yh21pa,computer,"máy tính đồng bộ hp prodesk 400 g6 7yh21pacpu: intel core i5-9500 (3.00 ghz upto 4.40 ghz, 6 cores 6 threads, 9mb cache) ram: 4gb ddr4 ổ cứng: 256gb ssd vga: intel hd graphics 630 hệ điều hành: freedos ổ đĩa: dvdrw "
126,máy in laser đen trắng hp m706n - a3,print,"máy in laser đen trắng hp m706n - a3hp m706n - a3 loại máy in : in laser đen trắng xuất xứ: china khổ giấy tối đa : a3 độ phân giải : 1200 x 1200 dpi kết nối: usb, ethernet in 2 mặt: có hỗ trợ lắp thêm đảo mặt mã hàng pkmi0395 tốc độ in đen trắng: 35 trang /phút mực in: hp 93a "
127,máy in hp laserjet m28w đa năng (in laser a4),print,"máy in hp laserjet m28w đa năng (in laser a4)hp laserjet m28w (w2g55a) loại máy in : máy in laser (in, copy, scan) xuất xứ: việt nam khổ giấy tối đa : a4 độ phân giải : 600 x 600 dpi kết nối: usb 2.0, wifi 802.11b/g/n tốc độ in đen trắng: 19 trang /phút mực in: hp 48a (cf248a) "
128,máy in epson l1110 máy in phun màu,print,"máy in epson l1110 máy in phun màuloại máy in : máy in màu khổ giấy tối đa : a4 độ phân giải : 5760x1440 dpi. kết nối: usb tốc độ in chuẩn : 10 trang trắng đen /phút tốc độ in màu: 5 trang màu /phút. tốc độ in ảnh : 69 giây / ảnh (tiêu chuẩn). "
129,máy in laser đa chức năng canon mf241d (in scan copy) đảo mặt,print,"máy in laser đa chức năng canon mf241d (in scan copy) đảo mặtlaser printer all in one canon mf241d - loại máy in : máy in laser trắng đen đa chức năng (in, copy, scan) - khổ giấy tối đa : a4 - độ phân giải : in và copy : 600x600dpi/ scan: 9600x9600dpi - kết nối: usb 2.0 - tốc độ in đen trắng: 27 tờ/phút - mực in: cartridge 337 - khối lượng:11.4kg - điện áp: điện áp: ac 220 - 240v (±10%), 50 / 60hz (±2hz) "
130,máy in laser canon lbp 6030w,print,"máy in laser canon lbp 6030wmáy in laser canon lbp 6030w tốc độ in: 18 trang/phút, in khổ a4 độ phân giải: 600 x 600dpi bộ nhớ: 32mb giấy vào: khay giấy cassette 150 tờ kết nối: cổng usb 2.0 tốc độ cao, wi-fi 802.11b/g/n (wps easy set up) mực: catridge 325 (1,600 trang) made in vietnam "
131,máy in hp laserjet pro m12w (in đen trắng a4),print,"máy in hp laserjet pro m12w (in đen trắng a4)hp laserjet pro m12w (t0l46a) loại máy in : máy in laser đen trắng xuất xứ: việt nam khổ giấy tối đa : a4 độ phân giải : 600 x 600 dpi kết nối: usb 2.0, wifi 802.11b/g/n tốc độ in trắng đen: 19 trang /phút mực in: hp 79a (cf279a) "
132,máy in đa năng hp laserjet pro mfp m227sdn,print,"máy in đa năng hp laserjet pro mfp m227sdnmáy in đa năng hp laserjet pro mfp m227sdn (g3q74a) loại máy in : máy in laser đa chức năng đảo mặt (in, copy, scan) xuất xứ: việt nam khổ giấy tối đa : a4 độ phân giải : 1200 x 1200 dpi kết nối: usb 2.0, ethernet tốc độ in trắng đen: 28 trang /phút mực in: hp 30a, hp 30x "
133,máy in laser đen trắng canon lbp6230dn,print,"máy in laser đen trắng canon lbp6230dncanon lbp6230dn - loại máy in : in laser trắng đen, in 2 mặt tự động - khổ giấy tối đa : a4 - độ phân giải : 1200 x 1200 dpi - kết nối: usb, ethernet - tốc độ in: 25 trang /phút - mực in: cartridge 326 "
134,máy in laser canon lbp 2900,print,"máy in laser canon lbp 2900canon lbp 2900 - loại máy in : máy in laser đen trắng - khổ giấy tối đa : a4, b5, a5, lgl, ltr, executive, giấy in bì thư c5/com10/dl, monarch - độ phân giải : 600 x 600dpi - kết nối: usb 2.0. capt 2.1. - tốc độ in đen trắng: 12 trang/phút - tốc độ in màu: không - mực in: cartridge 303 (2,000 pages)/cartridge 303 twin pack - khối lượng: 5.7kg "
135,máy in canon pixma g1010 (in phun màu a4),print,"máy in canon pixma g1010 (in phun màu a4)canon pixma g1010 - loại máy in : máy in phun màu đơn năng - khổ giấy tối đa : a4, a5 - độ phân giải : 4800 x 1200 dpi - kết nối: usb - tốc độ in đen trắng: 8.8 ảnh/phút - tốc độ in màu: 5.0 ảnh/phút - mực in: canon gi-790 "
136,máy in laser đen trắng canon ir2006n (copy/ in mạng in wifi/ scan),print,"máy in laser đen trắng canon ir2006n (copy/ in mạng in wifi/ scan)cấu hình chuẩn: copy/ in mạng, in wifi/ scan khổ giấy: a3/a4 đảo mặt bản sao: có adf: có cổng giao tiếp: usb/ lan/ wifi thu phóng: 25%-400% dùng mực: sử dụng mực npg-59 :10.200 trang/tuổi thọ drum: 61.700 trang "
137,máy in canon pixma g2010 (in phun màu đa năng a4),print,"máy in canon pixma g2010 (in phun màu đa năng a4)canon pixma g2010 - loại máy in : máy in phun màu đa năng (in, quét, sao chụp) - khổ giấy tối đa : a4, a5 - độ phân giải : 4800 x 1200 dpi - kết nối: usb - tốc độ in đen trắng: 8.8 ảnh/phút - tốc độ in màu: 5.0 ảnh/phút - mực in: canon gi-790 "
138,máy in laser canon lbp 6030,print,"máy in laser canon lbp 6030canon lbp 6030 - loại máy in : máy in laser trắng đen a4 - khổ giấy tối đa : a4, a5 - độ phân giải : 600x600 dpi - kết nối: usb 2.0 - tốc độ in đen trắng: 18 trang/phút - mực in: cartridge 325 - khối lượng: 5 kg - kích thước: dài 364 mm - rộng 249 mm - cao 199 mm "
139,băng mực máy in epson c13s015589 (dùng cho máy in epson lq590),print,"băng mực máy in epson c13s015589 (dùng cho máy in epson lq590)băng mực máy in epson c13s015589 (dùng cho máy in epson lq590) loại mực: in kim đen trắng. dùng cho máy in : epson lq-590 số bản in: 300 trang in tiêu chuẩn xuất xứ: nhật bản "
140,máy in phun màu đa năng epson l3110,print,"máy in phun màu đa năng epson l3110- loại máy in : máy in phun màu đa năng (in, quét, sao chụp) - khổ giấy tối đa : a4, b5, a5, b6, a6 - độ phân giải : scan 600 x 1200 dpi print 5760 x 1440 dpi - kết nối: usb 2.0 - tốc độ in đen trắng: 200 dpi: 11 sec - tốc độ in màu: 200 dpi: 32 sec "
141,máy in hp ink tank wireless 415 z4b53a,print,"máy in hp ink tank wireless 415 z4b53ahp ink tank wireless 415 z4b53a - đen loại máy in : in màu đa chức năng (in, copy, scan) xuất xứ: china khổ giấy tối đa : a4 độ phân giải : 4800 x 1200 dpi kết nối: usb 2.0, wifi tốc độ in đen trắng: 19 trang /phút tốc độ in màu: 15 trang /phút mực in: hp gt51 (m0h57aa), hp gt52 (m0h54aa/m0h55aa/m0h56aa) "
142,máy in canon mini photo pv -123,print,"máy in canon mini photo pv -123độ phân giải: 314 x 400dpi kích thước: 118.31 x 82.36 x 18.7mm cân nặng: 160g tạo ảnh 2x3 inch chống vết bẩn và chống trầy xước kết nối đơn giản bằng bluetooth để in trực tiếp lấy ảnh từ album online: facebook, instagram, google drive, và dropbox tùy biến ảnh bằng các bộ lọc sáng tạo, chữ, hoặc sticker "
143,máy in hp neverstop laser 1000w 4ry23a,print,"máy in hp neverstop laser 1000w 4ry23aloại máy in : máy in đen trắng xuất xứ: china khổ giấy tối đa : a4, a5, a6 độ phân giải : 600x600 dpi kết nối: usb, wi- fi 802.11b/g/n tích hợp sẵn tốc độ in đen trắng: lên đến 20 trang/phút mực đổ chính hãng hp 103a/ad "
144,mực hộp máy in phun hp 680 black dùng cho máy hp dj 3635 5075 2135 3836 4535,print,"mực hộp máy in phun hp 680 black dùng cho máy hp dj 3635 5075 2135 3836 4535model: hp 680 black - màu mực: mực đen - số trang in (dộ phủ 5%): 480 trang "
